algo,reward,n_seeds,mean_queue,std_queue,mean_wait_per_veh,std_wait_per_veh,mean_travel_time,std_travel_time,mean_throughput,mean_speed
ddqn,pressure,4,16.375,24.474,146.31,252.086,54.69,3.407,2471.0,7.37
ddqn,queue,8,11.256,9.38,109.421,111.693,57.072,1.325,2666.25,6.858
ddqn,wait-clip,8,2.013,0.123,0.711,0.075,55.993,0.898,2819.875,8.964
dqn,pressure,8,8.674,8.222,78.942,102.128,56.387,1.683,2708.875,7.445
dqn,queue,8,19.807,21.392,179.971,209.813,57.208,1.343,2409.25,6.324
dqn,wait-clip,8,20.817,23.443,195.276,227.809,56.417,1.844,2410.625,6.363
ppo,pressure,8,10.087,17.419,78.91,152.506,55.356,1.158,2625.875,7.828
ppo,queue,8,6.528,8.403,51.994,91.664,55.247,0.616,2740.125,8.04
ppo,wait-clip,8,1.986,0.118,0.662,0.044,55.718,0.541,2822.25,8.955
webster,-,1,2.603,0.0,1.092,0.0,39.462,0.0,13.0,7.717
